Pixel,Wavelength(nm),Intensity(Counts)
363,222.4,1503
364,222.6,1575
365,222.8,1653
366,223.1,1650
367,223.3,1651
368,223.5,1630
369,223.7,1773
370,223.9,1743
371,224.1,1629
372,224.3,1598
373,224.6,1573
374,224.8,1589
375,225,1623
376,225.2,1629
377,225.4,1572
378,225.6,1597
379,225.9,1589
380,226.1,1566
381,226.3,1532
382,226.5,1569
383,226.7,1543
384,226.9,1577
385,227.1,1667
386,227.4,1709
387,227.6,1632
388,227.8,1615
389,228,1620
390,228.2,1617
391,228.4,1665
392,228.7,1653
393,228.9,1604
394,229.1,1606
395,229.3,1585
396,229.5,1651
397,229.7,1622
398,229.9,1615
399,230.2,1597
400,230.4,1617
401,230.6,1604
402,230.8,1645
403,231,1595
404,231.2,1625
405,231.5,1639
406,231.7,1636
407,231.9,1632
408,232.1,1635
409,232.3,1607
410,232.5,1619
411,232.8,1683
412,233,1628
413,233.2,1611
414,233.4,1613
415,233.6,1597
416,233.8,1631
417,234,1633
418,234.3,1585
419,234.5,1620
420,234.7,1663
421,234.9,1661
422,235.1,1690
423,235.3,1655
424,235.6,1671
425,235.8,1647
426,236,1628
427,236.2,1582
428,236.4,1609
429,236.6,1631
430,236.9,1639
431,237.1,1643
432,237.3,1659
433,237.5,1689
434,237.7,1690
435,237.9,1655
436,238.2,1629
437,238.4,1664
438,238.6,1597
439,238.8,1655
440,239,1671
441,239.2,1641
442,239.5,1639
443,239.7,1621
444,239.9,1632
445,240.1,1621
446,240.3,1652
447,240.5,1661
448,240.7,1611
449,241,1636
450,241.2,1610
451,241.4,1565
452,241.6,1530
453,241.8,1589
454,242,1625
455,242.3,1652
456,242.5,1738
457,242.7,1708
458,242.9,1669
459,243.1,1656
460,243.3,1676
461,243.6,1629
462,243.8,1683
463,244,1678
464,244.2,1717
465,244.4,1695
466,244.6,1685
467,244.9,1703
468,245.1,1721
469,245.3,1669
470,245.5,1649
471,245.7,1635
472,245.9,1657
473,246.2,1629
474,246.4,1633
475,246.6,1653
476,246.8,1688
477,247,1619
478,247.2,1623
479,247.5,1563
480,247.7,1601
481,247.9,1635
482,248.1,1678
