Pixel,Wavelength(nm),Intensity(Counts)
1520,480.5,14425
1521,480.7,14363
1522,481,14369
1523,481.2,14371
1524,481.4,14243
1525,481.7,14293
1526,481.9,14378
1527,482.1,14385
1528,482.3,14152
1529,482.6,14145
1530,482.8,14128
1531,483,14077
1532,483.3,14159
1533,483.5,14253
1534,483.7,14317
1535,484,14269
1536,484.2,14285
1537,484.4,14287
1538,484.6,14225
1539,484.9,14119
1540,485.1,14127
1541,485.3,14205
1542,485.6,14332
1543,485.8,14305
1544,486,14330
1545,486.3,14244
1546,486.5,14218
1547,486.7,14228
1548,487,14194
1549,487.2,14162
1550,487.4,14220
1551,487.6,14218
1552,487.9,14423
1553,488.1,14501
1554,488.3,14474
1555,488.6,14416
1556,488.8,14551
1557,489,14664
1558,489.3,14641
1559,489.5,14707
1560,489.7,14742
1561,490,14757
1562,490.2,14765
1563,490.4,14846
1564,490.7,14915
1565,490.9,15000
1566,491.1,15009
1567,491.3,15130
1568,491.6,15194
1569,491.8,15152
1570,492,15269
1571,492.3,15381
1572,492.5,15495
1573,492.7,15594
1574,493,15745
1575,493.2,15933
1576,493.4,16284
1577,493.7,16483
1578,493.9,16458
1579,494.1,16417
1580,494.3,16525
1581,494.6,16651
1582,494.8,16732
1583,495,16946
1584,495.3,17069
1585,495.5,17087
1586,495.7,17211
1587,496,17553
1588,496.2,17588
1589,496.4,17701
1590,496.7,17754
1591,496.9,17705
1592,497.1,17844
1593,497.4,17893
1594,497.6,18027
1595,497.8,18166
1596,498.1,18353
1597,498.3,18374
1598,498.5,18363
1599,498.7,18501
1600,499,18625
1601,499.2,18703
1602,499.4,18869
1603,499.7,18981
1604,499.9,19122
1605,500.1,19396
1606,500.4,19588
1607,500.6,19725
1608,500.8,19991
1609,501.1,20105
1610,501.3,20257
1611,501.5,20423
1612,501.8,20403
1613,502,20569
1614,502.2,20738
1615,502.4,20862
1616,502.7,21043
1617,502.9,21371
1618,503.1,21329
1619,503.4,21446
1620,503.6,21670
1621,503.8,21761
1622,504.1,22034
1623,504.3,21972
1624,504.5,22164
1625,504.8,22116
1626,505,22420
1627,505.2,22442
1628,505.5,22715
1629,505.7,22837
1630,505.9,22889
1631,506.2,22953
1632,506.4,23173
1633,506.6,23556
1634,506.9,23663
1635,507.1,23657
1636,507.3,23740
1637,507.5,24171
1638,507.8,24147
1639,508,24311
1640,508.2,24537
1641,508.5,24751
1642,508.7,24782
1643,508.9,24883
1644,509.2,24974
1645,509.4,25216
1646,509.6,25431
1647,509.9,25491
1648,510.1,25622
1649,510.3,25939
1650,510.6,26115
1651,510.8,26372
1652,511,26613
1653,511.3,26637
1654,511.5,26913
1655,511.7,27192
1656,512,27509
1657,512.2,27415
1658,512.4,27689
1659,512.7,27759
1660,512.9,27988
1661,513.1,28134
1662,513.3,28355
1663,513.6,28412
1664,513.8,28580
1665,514,28857
1666,514.3,29052
1667,514.5,29322
1668,514.7,29549
1669,515,29757
1670,515.2,29937
1671,515.4,30187
1672,515.7,30530
1673,515.9,30739
1674,516.1,30926
1675,516.4,31232
1676,516.6,31608
1677,516.8,31845
1678,517.1,32191
1679,517.3,32474
1680,517.5,32399
1681,517.8,32548
1682,518,32934
1683,518.2,33098
1684,518.5,33206
1685,518.7,33383
1686,518.9,33685
1687,519.2,33770
1688,519.4,33969
1689,519.6,34270
1690,519.9,34305
1691,520.1,34139
1692,520.3,34405
1693,520.6,34732
1694,520.8,34846
1695,521,35157
1696,521.2,35327
1697,521.5,35376
1698,521.7,35547
1699,521.9,35609
1700,522.2,35790
1701,522.4,35917
1702,522.6,36004
1703,522.9,36119
1704,523.1,36354
1705,523.3,36367
1706,523.6,36713
1707,523.8,36800
1708,524,36732
1709,524.3,36854
1710,524.5,37061
1711,524.7,37091
1712,525,37380
1713,525.2,37640
1714,525.4,37854
1715,525.7,37935
1716,525.9,37713
1717,526.1,37638
1718,526.4,37816
1719,526.6,37893
1720,526.8,37811
1721,527.1,37889
1722,527.3,37970
1723,527.5,38029
1724,527.8,38214
1725,528,38340
1726,528.2,38660
1727,528.5,38550
1728,528.7,38571
1729,528.9,38637
1730,529.2,38875
1731,529.4,38886
1732,529.6,39121
1733,529.9,39045
1734,530.1,38961
1735,530.3,39075
1736,530.6,39149
1737,530.8,39380
1738,531,39226
1739,531.3,39239
1740,531.5,39413
1741,531.7,39343
1742,532,39339
1743,532.2,39210
1744,532.4,39282
1745,532.7,39507
1746,532.9,39554
1747,533.1,39618
1748,533.4,39805
1749,533.6,39668
1750,533.8,39692
1751,534.1,40041
1752,534.3,39890
1753,534.5,40035
1754,534.8,40121
1755,535,40036
1756,535.2,40171
1757,535.5,40159
1758,535.7,40250
1759,535.9,40137
1760,536.2,40235
1761,536.4,40435
1762,536.6,40633
1763,536.9,40645
1764,537.1,40583
1765,537.3,40599
1766,537.6,40491
1767,537.8,40336
1768,538,40465
1769,538.3,40505
1770,538.5,40330
1771,538.7,40165
1772,539,40220
1773,539.2,40010
1774,539.4,40056
1775,539.7,39960
1776,539.9,39946
1777,540.1,40049
1778,540.4,40050
1779,540.6,40139
1780,540.8,40286
1781,541.1,40372
1782,541.3,40188
1783,541.5,40291
1784,541.8,40312
1785,542,40461
1786,542.2,40448
1787,542.5,40234
1788,542.7,40248
1789,542.9,40063
1790,543.2,40053
1791,543.4,39998
1792,543.6,40041
1793,543.9,39992
1794,544.1,40232
1795,544.3,40244
1796,544.6,40069
1797,544.8,39988
1798,545,39930
1799,545.3,39961
1800,545.5,39930
1801,545.7,39875
1802,546,39614
1803,546.2,39520
1804,546.4,39447
1805,546.7,39381
1806,546.9,39542
1807,547.1,39382
1808,547.4,39432
1809,547.6,39482
1810,547.8,39610
1811,548.1,39933
1812,548.3,39901
1813,548.5,39862
1814,548.8,39943
1815,549,39698
1816,549.2,39629
1817,549.5,39773
1818,549.7,39814
1819,549.9,39742
1820,550.2,39702
1821,550.4,39724
1822,550.6,39857
1823,550.9,39746
1824,551.1,39646
1825,551.3,39717
1826,551.6,39930
1827,551.8,39769
1828,552,39894
1829,552.3,39836
1830,552.5,39605
1831,552.8,39755
1832,553,39822
1833,553.2,39993
1834,553.5,39934
1835,553.7,40005
1836,553.9,40020
1837,554.2,39998
1838,554.4,39999
1839,554.6,39998
1840,554.9,39962
1841,555.1,40009
1842,555.3,40062
1843,555.6,40084
1844,555.8,40259
1845,556,40191
1846,556.3,40361
1847,556.5,40306
1848,556.7,40308
1849,557,40251
1850,557.2,40096
1851,557.4,40049
1852,557.7,40335
1853,557.9,40296
1854,558.1,40400
1855,558.4,40577
1856,558.6,40792
1857,558.8,40626
1858,559.1,40722
1859,559.3,41081
1860,559.5,41101
1861,559.8,40995
1862,560,41059
1863,560.2,40994
1864,560.5,40974
1865,560.7,41168
1866,561,41314
1867,561.2,41291
1868,561.4,41183
1869,561.7,41115
1870,561.9,41104
1871,562.1,40979
1872,562.4,40919
1873,562.6,41081
1874,562.8,41299
1875,563.1,41326
1876,563.3,41553
1877,563.5,41728
1878,563.8,41760
1879,564,41787
1880,564.2,41742
1881,564.5,41910
1882,564.7,41929
1883,564.9,41831
1884,565.2,41792
1885,565.4,42027
1886,565.6,41790
1887,565.9,41622
1888,566.1,41579
1889,566.3,41522
1890,566.6,41670
1891,566.8,41485
1892,567.1,41719
1893,567.3,41520
1894,567.5,41525
1895,567.8,41578
1896,568,41996
1897,568.2,42073
1898,568.5,42160
1899,568.7,42234
1900,568.9,42168
1901,569.2,41967
1902,569.4,41998
1903,569.6,42178
1904,569.9,42086
1905,570.1,42014
1906,570.3,41949
1907,570.6,41934
1908,570.8,42192
1909,571,42210
1910,571.3,42061
1911,571.5,41879
1912,571.7,41788
1913,572,41904
1914,572.2,41856
1915,572.5,41771
1916,572.7,41848
1917,572.9,41837
1918,573.2,41971
1919,573.4,41958
1920,573.6,41818
1921,573.9,41790
1922,574.1,41841
1923,574.3,41510
1924,574.6,41419
1925,574.8,41527
1926,575,41431
1927,575.3,41419
1928,575.5,41485
1929,575.7,41212
1930,576,41140
1931,576.2,41298
1932,576.5,41183
1933,576.7,41190
1934,576.9,41029
1935,577.2,40960
1936,577.4,40985
1937,577.6,40888
1938,577.9,40715
1939,578.1,40611
1940,578.3,40603
1941,578.6,40552
1942,578.8,40509
1943,579,40654
1944,579.3,40767
1945,579.5,40566
1946,579.7,40501
1947,580,40158
1948,580.2,39939
1949,580.5,40058
1950,580.7,40098
1951,580.9,39946
1952,581.2,40055
1953,581.4,39827
1954,581.6,39721
1955,581.9,39373
1956,582.1,39229
1957,582.3,39092
1958,582.6,39001
1959,582.8,39122
1960,583,39109
1961,583.3,39007
1962,583.5,38810
1963,583.8,38649
1964,584,38711
1965,584.2,38443
1966,584.5,38401
1967,584.7,38177
1968,584.9,38181
1969,585.2,38134
1970,585.4,38086
1971,585.6,37947
1972,585.9,37816
1973,586.1,37678
1974,586.3,37362
1975,586.6,37322
1976,586.8,37297
1977,587,37085
1978,587.3,37092
1979,587.5,36951
1980,587.8,37002
1981,588,36778
1982,588.2,36732
1983,588.5,36439
1984,588.7,36356
1985,588.9,36281
1986,589.2,36179
1987,589.4,35917
1988,589.6,35859
1989,589.9,35973
1990,590.1,35764
1991,590.4,35764
1992,590.6,35683
1993,590.8,35900
1994,591.1,35669
1995,591.3,35505
1996,591.5,35268
1997,591.8,34940
1998,592,35118
1999,592.2,35012
2000,592.5,34752
2001,592.7,34557
2002,592.9,34497
2003,593.2,34569
2004,593.4,34359
2005,593.7,34271
2006,593.9,34258
2007,594.1,34395
2008,594.4,34320
2009,594.6,33953
2010,594.8,33799
2011,595.1,33454
2012,595.3,33325
2013,595.5,33509
2014,595.8,33658
2015,596,33344
2016,596.3,33281
2017,596.5,33287
2018,596.7,33046
2019,597,32978
2020,597.2,32833
2021,597.4,32765
2022,597.7,32800
2023,597.9,32835
2024,598.1,32616
2025,598.4,32403
2026,598.6,32246
2027,598.8,32201
2028,599.1,32293
2029,599.3,32110
2030,599.6,31811
2031,599.8,31830
2032,600,31735
2033,600.3,31623
2034,600.5,31691
2035,600.7,31326
2036,601,31211
2037,601.2,31091
2038,601.4,31167
2039,601.7,31184
2040,601.9,31064
2041,602.2,30958
2042,602.4,30815
2043,602.6,30518
2044,602.9,30391
2045,603.1,30282
2046,603.3,30173
2047,603.6,30212
2048,603.8,29893
2049,604.1,30129
2050,604.3,30035
2051,604.5,29848
2052,604.8,29599
2053,605,29506
2054,605.2,29505
2055,605.5,29621
2056,605.7,29535
2057,605.9,29565
2058,606.2,29431
2059,606.4,29264
2060,606.7,29112
2061,606.9,28938
2062,607.1,28872
2063,607.4,28715
2064,607.6,28624
2065,607.8,28453
2066,608.1,28236
2067,608.3,28361
2068,608.5,28436
2069,608.8,28327
2070,609,28139
2071,609.3,27955
2072,609.5,27741
2073,609.7,27718
2074,610,27526
2075,610.2,27418
2076,610.4,27359
2077,610.7,27192
2078,610.9,27143
2079,611.2,27125
2080,611.4,26888
2081,611.6,26592
2082,611.9,26499
2083,612.1,26471
2084,612.3,26364
2085,612.6,26303
2086,612.8,26167
2087,613,25948
2088,613.3,25575
2089,613.5,25577
2090,613.8,25439
2091,614,25299
2092,614.2,25281
2093,614.5,24924
2094,614.7,24747
2095,614.9,24726
2096,615.2,24615
2097,615.4,24515
2098,615.7,24512
2099,615.9,24363
2100,616.1,24307
2101,616.4,24138
2102,616.6,23943
2103,616.8,23787
2104,617.1,23764
2105,617.3,23648
2106,617.5,23508
2107,617.8,23404
2108,618,23492
2109,618.3,23255
2110,618.5,23108
2111,618.7,22990
2112,619,22879
2113,619.2,22698
2114,619.4,22487
2115,619.7,22203
2116,619.9,22214
2117,620.2,22144
2118,620.4,22087
2119,620.6,21935
2120,620.9,21924
2121,621.1,21631
2122,621.3,21501
2123,621.6,21370
2124,621.8,21158
2125,622.1,21079
2126,622.3,21029
2127,622.5,20973
2128,622.8,20723
2129,623,20493
2130,623.2,20269
2131,623.5,20267
2132,623.7,20048
2133,624,19997
2134,624.2,19672
2135,624.4,19759
2136,624.7,19747
2137,624.9,19661
2138,625.1,19345
2139,625.4,19293
2140,625.6,19195
2141,625.9,19301
2142,626.1,19059
2143,626.3,18915
2144,626.6,18732
2145,626.8,18587
2146,627,18549
2147,627.3,18367
2148,627.5,18165
2149,627.8,18129
2150,628,17988
2151,628.2,17960
2152,628.5,17808
2153,628.7,17715
2154,628.9,17571
2155,629.2,17487
2156,629.4,17541
2157,629.7,17371
2158,629.9,17312
2159,630.1,17199
2160,630.4,17111
2161,630.6,17011
2162,630.8,16736
2163,631.1,16591
2164,631.3,16430
2165,631.6,16384
2166,631.8,16244
2167,632,16121
2168,632.3,16078
2169,632.5,15956
2170,632.7,15951
2171,633,15855
2172,633.2,15709
2173,633.5,15637
2174,633.7,15679
2175,633.9,15513
2176,634.2,15430
2177,634.4,15322
2178,634.6,15297
2179,634.9,15244
2180,635.1,15211
2181,635.4,15207
2182,635.6,14969
2183,635.8,14840
2184,636.1,14808
2185,636.3,14763
2186,636.6,14813
2187,636.8,14797
2188,637,14706
2189,637.3,14578
2190,637.5,14617
2191,637.7,14417
2192,638,14511
2193,638.2,14509
2194,638.5,14403
2195,638.7,14325
2196,638.9,14248
2197,639.2,14288
2198,639.4,14246
2199,639.6,14153
2200,639.9,14063
2201,640.1,14113
2202,640.4,14100
2203,640.6,14017
2204,640.8,14034
2205,641.1,13874
2206,641.3,13852
2207,641.6,13999
2208,641.8,13871
2209,642,13755
2210,642.3,13719
2211,642.5,13715
2212,642.7,13623
2213,643,13509
2214,643.2,13468
2215,643.5,13188
2216,643.7,13139
2217,643.9,13178
2218,644.2,13240
2219,644.4,13045
2220,644.7,13062
2221,644.9,12986
2222,645.1,12846
2223,645.4,12771
2224,645.6,12610
2225,645.8,12412
2226,646.1,12282
2227,646.3,12231
2228,646.6,12216
2229,646.8,12167
2230,647,12134
2231,647.3,11979
2232,647.5,11912
2233,647.7,11813
2234,648,11683
2235,648.2,11675
2236,648.5,11524
2237,648.7,11264
2238,648.9,11314
2239,649.2,11076
2240,649.4,11064
2241,649.7,10943
2242,649.9,10852
2243,650.1,10822
2244,650.4,10753
2245,650.6,10716
2246,650.9,10624
2247,651.1,10558
2248,651.3,10581
2249,651.6,10521
2250,651.8,10478
2251,652,10259
2252,652.3,10225
2253,652.5,10212
2254,652.8,10063
2255,653,9867
2256,653.2,9726
2257,653.5,9629
2258,653.7,9546
2259,654,9530
2260,654.2,9457
2261,654.4,9372
2262,654.7,9289
2263,654.9,9366
2264,655.1,9294
2265,655.4,9140
2266,655.6,9081
2267,655.9,9014
2268,656.1,9005
2269,656.3,8843
2270,656.6,8801
2271,656.8,8733
2272,657.1,8549
2273,657.3,8465
2274,657.5,8367
2275,657.8,8317
2276,658,8229
2277,658.3,8169
2278,658.5,8123
2279,658.7,8101
2280,659,7949
2281,659.2,7932
2282,659.4,7846
2283,659.7,7761
2284,659.9,7675
2285,660.2,7676
2286,660.4,7713
2287,660.6,7605
2288,660.9,7554
2289,661.1,7528
2290,661.4,7493
2291,661.6,7408
2292,661.8,7390
2293,662.1,7337
2294,662.3,7300
2295,662.6,7172
2296,662.8,7120
2297,663,7105
2298,663.3,7121
2299,663.5,7101
2300,663.7,7031
2301,664,6949
2302,664.2,6977
2303,664.5,6884
2304,664.7,6757
2305,664.9,6721
2306,665.2,6607
2307,665.4,6471
2308,665.7,6346
2309,665.9,6314
2310,666.1,6363
2311,666.4,6259
2312,666.6,6297
2313,666.9,6216
2314,667.1,6203
2315,667.3,6260
2316,667.6,6127
2317,667.8,6032
2318,668.1,5911
2319,668.3,5945
2320,668.5,5884
2321,668.8,5943
2322,669,5829
2323,669.3,5720
2324,669.5,5719
2325,669.7,5747
2326,670,5655
2327,670.2,5705
2328,670.4,5661
2329,670.7,5639
2330,670.9,5588
2331,671.2,5633
2332,671.4,5623
2333,671.6,5514
2334,671.9,5351
2335,672.1,5341
2336,672.4,5344
2337,672.6,5287
2338,672.8,5383
2339,673.1,5276
2340,673.3,5257
2341,673.6,5249
2342,673.8,5191
2343,674,5206
2344,674.3,5245
2345,674.5,5135
2346,674.8,5026
2347,675,4981
2348,675.2,4905
2349,675.5,4909
2350,675.7,4828
2351,676,4819
2352,676.2,4801
2353,676.4,4750
2354,676.7,4771
2355,676.9,4732
2356,677.2,4685
2357,677.4,4641
2358,677.6,4575
2359,677.9,4598
2360,678.1,4593
2361,678.4,4537
2362,678.6,4500
2363,678.8,4461
2364,679.1,4474
2365,679.3,4429
2366,679.6,4447
2367,679.8,4373
2368,680,4386
2369,680.3,4339
2370,680.5,4309
2371,680.8,4244
2372,681,4172
2373,681.2,4179
2374,681.5,4280
2375,681.7,4252
2376,682,4256
2377,682.2,4194
2378,682.4,4178
2379,682.7,4031
2380,682.9,4025
2381,683.2,4075
2382,683.4,4069
2383,683.6,4044
2384,683.9,3967
2385,684.1,3931
2386,684.4,3980
2387,684.6,3926
2388,684.8,3959
2389,685.1,3954
2390,685.3,3935
2391,685.6,3795
2392,685.8,3851
2393,686,3922
2394,686.3,3919
2395,686.5,3878
2396,686.8,3854
2397,687,3818
2398,687.2,3760
2399,687.5,3771
2400,687.7,3701
2401,688,3684
2402,688.2,3651
2403,688.4,3689
2404,688.7,3725
2405,688.9,3729
2406,689.2,3711
2407,689.4,3687
2408,689.6,3659
2409,689.9,3693
2410,690.1,3623
2411,690.4,3639
2412,690.6,3611
2413,690.8,3565
2414,691.1,3454
2415,691.3,3465
2416,691.6,3474
2417,691.8,3510
2418,692,3420
2419,692.3,3453
2420,692.5,3457
2421,692.8,3495
2422,693,3497
2423,693.2,3484
2424,693.5,3503
2425,693.7,3499
2426,694,3501
2427,694.2,3371
2428,694.4,3320
2429,694.7,3369
2430,694.9,3411
2431,695.2,3460
2432,695.4,3472
2433,695.6,3436
2434,695.9,3399
2435,696.1,3326
2436,696.4,3409
2437,696.6,3415
2438,696.8,3405
2439,697.1,3412
2440,697.3,3460
2441,697.6,3478
2442,697.8,3405
2443,698.1,3314
2444,698.3,3316
2445,698.5,3342
2446,698.8,3350
2447,699,3382
2448,699.3,3400
2449,699.5,3411
2450,699.7,3397
2451,700,3387
2452,700.2,3385
2453,700.5,3442
2454,700.7,3443
2455,700.9,3457
2456,701.2,3472
2457,701.4,3427
2458,701.7,3339
2459,701.9,3345
2460,702.1,3317
2461,702.4,3397
2462,702.6,3357
2463,702.9,3429
2464,703.1,3485
2465,703.3,3490
2466,703.6,3457
2467,703.8,3518
2468,704.1,3561
2469,704.3,3486
2470,704.6,3493
2471,704.8,3523
2472,705,3529
2473,705.3,3523
2474,705.5,3605
2475,705.8,3541
2476,706,3483
2477,706.2,3521
2478,706.5,3624
2479,706.7,3562
2480,707,3663
2481,707.2,3709
2482,707.4,3712
2483,707.7,3707
2484,707.9,3676
2485,708.2,3635
2486,708.4,3673
2487,708.6,3671
2488,708.9,3685
2489,709.1,3735
2490,709.4,3733
2491,709.6,3769
2492,709.9,3794
2493,710.1,3841
2494,710.3,3898
2495,710.6,3873
2496,710.8,3809
2497,711.1,3812
2498,711.3,3903
2499,711.5,3991
2500,711.8,3971
2501,712,3979
2502,712.3,3995
2503,712.5,4020
2504,712.7,4059
2505,713,4074
2506,713.2,4058
2507,713.5,4059
2508,713.7,4059
2509,714,4028
2510,714.2,4133
2511,714.4,4157
2512,714.7,4119
2513,714.9,4225
2514,715.2,4333
2515,715.4,4239
2516,715.6,4271
2517,715.9,4266
2518,716.1,4363
2519,716.4,4408
2520,716.6,4417
2521,716.8,4441
2522,717.1,4441
2523,717.3,4422
2524,717.6,4459
2525,717.8,4474
2526,718.1,4491
2527,718.3,4570
2528,718.5,4593
2529,718.8,4620
2530,719,4604
2531,719.3,4681
2532,719.5,4734
2533,719.7,4797
2534,720,4766
2535,720.2,4825
2536,720.5,4840
2537,720.7,4880
2538,721,4991
2539,721.2,4965
2540,721.4,5008
2541,721.7,5050
2542,721.9,5038
2543,722.2,5121
2544,722.4,5163
2545,722.6,5083
2546,722.9,5145
2547,723.1,5245
2548,723.4,5239
2549,723.6,5349
2550,723.9,5359
2551,724.1,5370
2552,724.3,5439
2553,724.6,5455
2554,724.8,5551
2555,725.1,5552
2556,725.3,5502
2557,725.5,5632
2558,725.8,5742
2559,726,5659
2560,726.3,5727
2561,726.5,5854
2562,726.8,5913
2563,727,5893
2564,727.2,5835
2565,727.5,5904
2566,727.7,5911
2567,728,5961
2568,728.2,6019
2569,728.4,5961
2570,728.7,6022
2571,728.9,6064
2572,729.2,6117
2573,729.4,6226
2574,729.7,6337
2575,729.9,6462
2576,730.1,6571
2577,730.4,6669
2578,730.6,6685
2579,730.9,6810
2580,731.1,6727
2581,731.3,6657
2582,731.6,6784
2583,731.8,6847
2584,732.1,6937
2585,732.3,7048
2586,732.6,7043
2587,732.8,7065
2588,733,7109
2589,733.3,7289
2590,733.5,7275
2591,733.8,7415
2592,734,7469
2593,734.3,7648
2594,734.5,7757
2595,734.7,7776
2596,735,7904
2597,735.2,7835
2598,735.5,7896
2599,735.7,7943
2600,735.9,8114
2601,736.2,8071
2602,736.4,8221
2603,736.7,8328
2604,736.9,8378
2605,737.2,8520
2606,737.4,8581
2607,737.6,8663
2608,737.9,8679
2609,738.1,8823
2610,738.4,8948
2611,738.6,9161
2612,738.9,9329
2613,739.1,9389
2614,739.3,9534
2615,739.6,9649
2616,739.8,9692
2617,740.1,9720
2618,740.3,9841
2619,740.5,9949
2620,740.8,10007
2621,741,10109
2622,741.3,10246
2623,741.5,10353
2624,741.8,10485
2625,742,10725
2626,742.2,10903
2627,742.5,11058
2628,742.7,11276
2629,743,11363
2630,743.2,11444
2631,743.5,11711
2632,743.7,11813
2633,743.9,12124
2634,744.2,12173
2635,744.4,12277
2636,744.7,12511
2637,744.9,12701
2638,745.2,12854
2639,745.4,13059
2640,745.6,13191
2641,745.9,13267
2642,746.1,13516
2643,746.4,13659
2644,746.6,13914
2645,746.8,14169
2646,747.1,14425
2647,747.3,14598
2648,747.6,14840
2649,747.8,14881
2650,748.1,15046
2651,748.3,15287
2652,748.5,15476
2653,748.8,15634
2654,749,15837
2655,749.3,16065
2656,749.5,16267
2657,749.8,16427
2658,750,16537
2659,750.2,16796
2660,750.5,16985
2661,750.7,17106
2662,751,17286
2663,751.2,17465
2664,751.5,17693
2665,751.7,17996
2666,751.9,18072
2667,752.2,18227
2668,752.4,18369
2669,752.7,18554
2670,752.9,18620
2671,753.2,18603
2672,753.4,18884
2673,753.6,18886
2674,753.9,18913
2675,754.1,19050
2676,754.4,19114
2677,754.6,19269
2678,754.9,19204
2679,755.1,19349
2680,755.3,19351
2681,755.6,19268
2682,755.8,19434
2683,756.1,19507
2684,756.3,19270
2685,756.6,19103
2686,756.8,18965
2687,757,18794
2688,757.3,18748
2689,757.5,18705
2690,757.8,18736
2691,758,18496
2692,758.3,18247
2693,758.5,18140
2694,758.7,17977
2695,759,17874
2696,759.2,17624
2697,759.5,17488
2698,759.7,17279
2699,760,17138
2700,760.2,16913
2701,760.4,16800
2702,760.7,16767
2703,760.9,16517
2704,761.2,16200
2705,761.4,15893
2706,761.7,15592
2707,761.9,15455
2708,762.1,15203
2709,762.4,14967
2710,762.6,14707
2711,762.9,14621
2712,763.1,14139
2713,763.4,13930
2714,763.6,13573
2715,763.9,13382
2716,764.1,13226
2717,764.3,12904
2718,764.6,12684
2719,764.8,12431
2720,765.1,12128
2721,765.3,11900
2722,765.6,11677
2723,765.8,11558
2724,766,11222
2725,766.3,10956
2726,766.5,10803
2727,766.8,10645
2728,767,10344
2729,767.3,10026
2730,767.5,9794
2731,767.7,9614
2732,768,9520
2733,768.2,9221
2734,768.5,9155
2735,768.7,8965
2736,769,8721
2737,769.2,8483
2738,769.4,8269
2739,769.7,7988
2740,769.9,7821
2741,770.2,7679
2742,770.4,7523
2743,770.7,7311
2744,770.9,7138
2745,771.2,6894
2746,771.4,6751
2747,771.6,6649
2748,771.9,6499
2749,772.1,6378
2750,772.4,6213
2751,772.6,6079
2752,772.9,5904
2753,773.1,5793
2754,773.3,5670
2755,773.6,5502
2756,773.8,5344
2757,774.1,5238
2758,774.3,5213
2759,774.6,5143
2760,774.8,4912
2761,775,4909
2762,775.3,4859
2763,775.5,4608
2764,775.8,4537
2765,776,4305
2766,776.3,4285
2767,776.5,4196
2768,776.8,4084
2769,777,4064
2770,777.2,4027
2771,777.5,3984
2772,777.7,3873
2773,778,3825
2774,778.2,3778
2775,778.5,3685
2776,778.7,3595
2777,778.9,3619
2778,779.2,3578
2779,779.4,3536
2780,779.7,3453
2781,779.9,3417
2782,780.2,3420
2783,780.4,3325
2784,780.7,3258
2785,780.9,3197
2786,781.1,3216
2787,781.4,3134
2788,781.6,3087
2789,781.9,3125
2790,782.1,3063
2791,782.4,2979
2792,782.6,2971
2793,782.8,2922
2794,783.1,2896
2795,783.3,2902
2796,783.6,2784
2797,783.8,2723
2798,784.1,2678
2799,784.3,2668
2800,784.6,2703
2801,784.8,2692
2802,785,2692
2803,785.3,2679
2804,785.5,2659
2805,785.8,2687
2806,786,2657
2807,786.3,2653
2808,786.5,2601
2809,786.8,2622
2810,787,2615
2811,787.2,2551
2812,787.5,2517
2813,787.7,2515
2814,788,2606
2815,788.2,2604
2816,788.5,2573
2817,788.7,2481
2818,788.9,2425
2819,789.2,2469
2820,789.4,2465
2821,789.7,2509
2822,789.9,2458
2823,790.2,2345
2824,790.4,2357
2825,790.7,2391
2826,790.9,2396
2827,791.1,2410
2828,791.4,2400
2829,791.6,2355
2830,791.9,2354
2831,792.1,2289
2832,792.4,2245
2833,792.6,2229
2834,792.9,2272
2835,793.1,2353
2836,793.3,2391
2837,793.6,2358
2838,793.8,2349
2839,794.1,2388
2840,794.3,2360
2841,794.6,2351
2842,794.8,2333
2843,795.1,2377
2844,795.3,2340
2845,795.5,2293
2846,795.8,2248
2847,796,2214
2848,796.3,2305
2849,796.5,2351
2850,796.8,2359
2851,797,2354
2852,797.3,2289
2853,797.5,2266
2854,797.7,2275
2855,798,2286
2856,798.2,2307
2857,798.5,2293
2858,798.7,2391
2859,799,2402
2860,799.2,2351
2861,799.5,2311
2862,799.7,2316
2863,799.9,2350
2864,800.2,2363
2865,800.4,2375
2866,800.7,2333
2867,800.9,2281
2868,801.2,2264
2869,801.4,2293
2870,801.7,2316
2871,801.9,2351
2872,802.1,2257
2873,802.4,2329
2874,802.6,2371
2875,802.9,2393
2876,803.1,2405
2877,803.4,2353
2878,803.6,2342
2879,803.9,2357
2880,804.1,2409
2881,804.3,2389
2882,804.6,2345
2883,804.8,2424
2884,805.1,2359
2885,805.3,2430
2886,805.6,2425
2887,805.8,2429
2888,806.1,2471
2889,806.3,2462
2890,806.6,2453
2891,806.8,2409
2892,807,2359
2893,807.3,2416
2894,807.5,2517
2895,807.8,2501
2896,808,2544
2897,808.3,2511
2898,808.5,2546
2899,808.8,2509
2900,809,2519
2901,809.2,2567
2902,809.5,2509
2903,809.7,2530
2904,810,2582
2905,810.2,2588
2906,810.5,2516
2907,810.7,2620
2908,811,2651
2909,811.2,2627
2910,811.4,2623
2911,811.7,2566
2912,811.9,2560
2913,812.2,2619
2914,812.4,2672
2915,812.7,2660
2916,812.9,2615
2917,813.2,2642
2918,813.4,2601
2919,813.7,2615
2920,813.9,2690
2921,814.1,2710
2922,814.4,2760
2923,814.6,2823
2924,814.9,2845
2925,815.1,2889
2926,815.4,2900
2927,815.6,2818
2928,815.9,2815
2929,816.1,2806
2930,816.3,2886
2931,816.6,2884
2932,816.8,2911
2933,817.1,2906
2934,817.3,2937
2935,817.6,2965
2936,817.8,2985
2937,818.1,2978
2938,818.3,3019
2939,818.6,3015
2940,818.8,3012
2941,819,3065
2942,819.3,3077
2943,819.5,3067
2944,819.8,3099
2945,820,3103
